"list_name","name","label","Hub","District","Block_VDC"
"Block_VDCs","Koilabas","Koilabas","Nepal","Dang",""
"Block_VDCs","Lalmitiya","Lalmitiya","Nepal","Dang",""
"Block_VDCs","Lakshmipur","Lakshmipur","Nepal","Dang",""
"Block_VDCs","Loharpani","Loharpani","Nepal","Dang",""
"Block_VDCs","Manpur","Manpur","Nepal","Dang",""
"Block_VDCs","Narayanpur","Narayanpur","Nepal","Dang",""
"Block_VDCs","Panchakule","Panchakule","Nepal","Dang",""
"Block_VDCs","PawanNagar","PawanNagar","Nepal","Dang",""
"Block_VDCs","Phulbari","Phulbari","Nepal","Dang",""
"Block_VDCs","Purandhara","Purandhara","Nepal","Dang",""
"Block_VDCs","Rajpur","Rajpur","Nepal","Dang",""
"Block_VDCs","Rampur","Rampur","Nepal","Dang",""
"Block_VDCs","Saidha","Saidha","Nepal","Dang",""
"Block_VDCs","Satbariya","Satbariya","Nepal","Dang",""
"Block_VDCs","Saudiyar","Saudiyar","Nepal","Dang",""
"Block_VDCs","Shantinagar","Shantinagar","Nepal","Dang",""
"Block_VDCs","Sisahaniya","Sisahaniya","Nepal","Dang",""
"Block_VDCs","Sonpur","Sonpur","Nepal","Dang",""
"Block_VDCs","Syuja","Syuja","Nepal","Dang",""
"Block_VDCs","Tarigaun","Tarigaun","Nepal","Dang",""
"Block_VDCs","Ghorahi","Ghorahi","Nepal","Dang",""
"Block_VDCs","Tulsipur","Tulsipur","Nepal","Dang",""
"Block_VDCs","Urahari","Urahari","Nepal","Dang",""
"Block_VDCs","Agara","Agara","Nepal","Makwanpur",""
"Block_VDCs","Ambhanjyang","Ambhanjyang","Nepal","Makwanpur",""
"Block_VDCs","Bajrabarahi","Bajrabarahi","Nepal","Makwanpur",""
"Block_VDCs","Betini","Betini","Nepal","Makwanpur",""
"Block_VDCs","Bhainse","Bhainse","Nepal","Makwanpur",""
"Block_VDCs","BhartaPundyadevi","BhartaPundyadevi","Nepal","Makwanpur",""
"Block_VDCs","Bhimphedi","Bhimphedi","Nepal","Makwanpur",""
"Block_VDCs","Budhichaur","Budhichaur","Nepal","Makwanpur",""
"Block_VDCs","Chhatiwan","Chhatiwan","Nepal","Makwanpur",""
"Block_VDCs","Chitlang","Chitlang","Nepal","Makwanpur",""
"Block_VDCs","Dandakharka","Dandakharka","Nepal","Makwanpur",""
"Block_VDCs","Dhimal","Dhimal","Nepal","Makwanpur",""
"Block_VDCs","Gogane","Gogane","Nepal","Makwanpur",""
"Block_VDCs","Handikhola","Handikhola","Nepal","Makwanpur",""
"Block_VDCs","Harnamadi","Harnamadi","Nepal","Makwanpur",""
"Block_VDCs","Hetauda","Hetauda","Nepal","Makwanpur",""
"Block_VDCs","IpaPanchakanya","IpaPanchakanya","Nepal","Makwanpur",""
"Block_VDCs","Kalikatar","Kalikatar","Nepal","Makwanpur",""
"Block_VDCs","Kankada","Kankada","Nepal","Makwanpur",""
"Block_VDCs","Kamane","Kamane","Nepal","Makwanpur",""
"Block_VDCs","Khairang","Khairang","Nepal","Makwanpur",""
"Block_VDCs","Kogate","Kogate","Nepal","Makwanpur",""
"Block_VDCs","Kulekhani","Kulekhani","Nepal","Makwanpur",""
"Block_VDCs","Makwanpurgadhi","Makwanpurgadhi","Nepal","Makwanpur",""
"Block_VDCs","Manahari","Manahari","Nepal","Makwanpur",""
"Block_VDCs","Manthali","Manthali","Nepal","Makwanpur",""
"Block_VDCs","Markhu","Markhu","Nepal","Makwanpur",""
"Block_VDCs","MartaPunchedevi","MartaPunchedevi","Nepal","Makwanpur",""
"Block_VDCs","Namtar","Namtar","Nepal","Makwanpur",""
"Block_VDCs","Nibuwatar","Nibuwatar","Nepal","Makwanpur",""
"Block_VDCs","Phakhel","Phakhel","Nepal","Makwanpur",""
"Block_VDCs","Phaparbari","Phaparbari","Nepal","Makwanpur",""
"Block_VDCs","Raigaun","Raigaun","Nepal","Makwanpur",""
"Block_VDCs","Raksirang","Raksirang","Nepal","Makwanpur",""
"Block_VDCs","SarikhetPalase","SarikhetPalase","Nepal","Makwanpur",""
"Block_VDCs","Shikharpur","Shikharpur","Nepal","Makwanpur",""
"Block_VDCs","SripurChhatiwan","SripurChhatiwan","Nepal","Makwanpur",""
