list_name,name,label,q101_country,q102_state,q103_district
subDistrict,Kadiam,Kadiam,India,AndhraPradesh,EastGodavari
subDistrict,Kajuluru,Kajuluru,India,AndhraPradesh,EastGodavari
subDistrict,Kakinada_FU,Kakinada (Fully Urban),India,AndhraPradesh,EastGodavari
subDistrict,Kakinada_R,Kakinada (Rural),India,AndhraPradesh,EastGodavari
subDistrict,Kapileswarapuram,Kapileswarapuram,India,AndhraPradesh,EastGodavari
subDistrict,Karapa,Karapa,India,AndhraPradesh,EastGodavari
subDistrict,Katrenikona,Katrenikona,India,AndhraPradesh,EastGodavari
subDistrict,Kirlampudi,Kirlampudi,India,AndhraPradesh,EastGodavari
subDistrict,Korukonda,Korukonda,India,AndhraPradesh,EastGodavari
subDistrict,Kotananduru,Kotananduru,India,AndhraPradesh,EastGodavari
subDistrict,Kothapalle1,Kothapalle1,India,AndhraPradesh,EastGodavari
subDistrict,Kothapeta,Kothapeta,India,AndhraPradesh,EastGodavari
subDistrict,Kunavaram,Kunavaram,India,AndhraPradesh,EastGodavari
subDistrict,Malikipuram,Malikipuram,India,AndhraPradesh,EastGodavari
subDistrict,Mamidikuduru,Mamidikuduru,India,AndhraPradesh,EastGodavari
subDistrict,Mandapeta,Mandapeta,India,AndhraPradesh,EastGodavari
subDistrict,Maredumilli,Maredumilli,India,AndhraPradesh,EastGodavari
subDistrict,Mummidivaram,Mummidivaram,India,AndhraPradesh,EastGodavari
subDistrict,PGannavaram,P.Gannavaram,India,AndhraPradesh,EastGodavari
subDistrict,Pamarru1,Pamarru1,India,AndhraPradesh,EastGodavari
subDistrict,Pedapudi,Pedapudi,India,AndhraPradesh,EastGodavari
subDistrict,Peddapuram,Peddapuram,India,AndhraPradesh,EastGodavari
subDistrict,Pithapuram,Pithapuram,India,AndhraPradesh,EastGodavari
subDistrict,Prathipadu1,Prathipadu1,India,AndhraPradesh,EastGodavari
subDistrict,Rajahmundry_FU,Rajahmundry (Fully Urban),India,AndhraPradesh,EastGodavari
subDistrict,Rajahmundry_R,Rajahmundry (Rural),India,AndhraPradesh,EastGodavari
subDistrict,Rajanagaram,Rajanagaram,India,AndhraPradesh,EastGodavari
subDistrict,Rajavommangi,Rajavommangi,India,AndhraPradesh,EastGodavari
subDistrict,Ramachandrapuram2,Ramachandrapuram2,India,AndhraPradesh,EastGodavari
subDistrict,Rampachodavaram,Rampachodavaram,India,AndhraPradesh,EastGodavari
subDistrict,Rangampeta,Rangampeta,India,AndhraPradesh,EastGodavari
subDistrict,Ravulapalem,Ravulapalem,India,AndhraPradesh,EastGodavari
subDistrict,Rayavaram,Rayavaram,India,AndhraPradesh,EastGodavari
